word,corpus_ratio,audiencesLoveIndex,audiencesHateIndex,criticsHateIndex,criticsLoveIndex
mired,1.05857912217326e-05,2.88358516483517,3.57582898024075,9.49314139282484,8.47611036339166
substantial,1.32322390271658e-05,2.30686813186813,2.8606631841926,7.59451311425987,6.78088829071332
curiosity,1.58786868325989e-05,1.92239010989011,2.38388598682716,6.3287609285499,11.3014804845222
destination,1.58786868325989e-05,1.92239010989011,2.38388598682716,6.3287609285499,5.6507402422611
smith,7.93934341629947e-05,3.84478021978022,0.476777197365433,6.32876092854989,2.26029609690444
dull,0.000177312002964022,1.37723470559291,0.853929308714208,6.23430181021333,1.51810931881642
werent,3.4403821470631e-05,0.887256973795435,2.20051014168661,5.84193316481529,2.60803395796666
deserve,5.55754039140963e-05,1.09850863422292,1.36222056390124,5.42465222447134,1.6144972120746
toll,1.85251346380321e-05,1.64776295133438,2.04333084585185,5.42465222447134,4.8434916362238
waste,9.52721209955937e-05,1.92239010989011,1.19194299341358,5.27396744045825,1.8835800807537
book,0.000195837137602054,2.33804202554203,0.773152211943945,5.13142777990532,0.916336255501801
embrace,2.11715824434653e-05,1.44179258241758,1.78791449012037,4.74657069641242,4.23805518169583
exercise,6.61611951358289e-05,0.461373626373626,0.572132636838519,4.55670786855592,2.71235531628533
saving,4.49896126923637e-05,2.71396250808016,1.68274304952506,4.46736065544698,1.99437890903333
unlike,4.49896126923637e-05,1.35698125404008,0.841371524762528,4.46736065544698,3.98875781806666
mr,6.88076429412621e-05,0.443628486897718,0.550127535421653,4.38144987361147,2.60803395796666
fails,0.000190544241991187,1.60199175824176,0.397314331137861,4.2191739523666,1.8835800807537
bill,4.76360604977968e-05,0.640796703296703,1.58925732455144,4.2191739523666,1.8835800807537
hallmark,4.76360604977968e-05,1.28159340659341,0.794628662275721,4.2191739523666,1.8835800807537
behavior,4.76360604977968e-05,1.28159340659341,0.794628662275721,4.2191739523666,5.6507402422611
postapocalyptic,2.38180302488984e-05,1.28159340659341,4.76777197365433,4.2191739523666,3.7671601615074
hungry,2.38180302488984e-05,1.28159340659341,1.58925732455144,4.2191739523666,3.7671601615074
asked,2.38180302488984e-05,1.28159340659341,1.58925732455144,4.2191739523666,3.7671601615074
entertainment,0.00015084752490969,0.809427414690573,0.501870734068876,3.99711216539993,0.594814762343274
title,0.000209069376629219,0.730021560717763,0.362109263821848,3.84532309582778,0.858340289963712
genres,5.29289561086631e-05,2.30686813186813,0.715165796048149,3.79725655712994,3.39044414535666
toxic,2.64644780543316e-05,1.15343406593407,1.4303315920963,3.79725655712994,6.78088829071332
frozen,2.64644780543316e-05,2.30686813186813,1.4303315920963,3.79725655712994,3.39044414535666
muddled,2.64644780543316e-05,3.4603021978022,1.4303315920963,3.79725655712994,3.39044414535666
space,0.000190544241991187,2.24278846153846,0.794628662275721,3.69177720832077,0.470895020188425
hasnt,8.20398819684279e-05,0.744151010280043,0.922794575545999,3.67476441012575,2.18738331958494
creative,8.20398819684279e-05,0.744151010280043,0.461397287772999,3.67476441012575,2.18738331958494
effort,0.00019319068979662,0.948027999397862,0.195935834533739,3.64120491779583,0.464444403473515
\n,0.00705013695367393,0.0909238565488566,0.112751364241825,3.60625341198902,3.06718107744353
reasons,8.4686329773861e-05,0.360448145604396,0.446978622530093,3.55992802230932,1.05951379542396
barely,8.4686329773861e-05,1.08134443681319,0.446978622530093,3.55992802230932,1.05951379542396
talented,0.000116443703439059,0.786432317682318,0.975226085520203,3.45205141557267,0.77055548758106
cheesy,8.73327775792942e-05,2.09715284715285,0.433433815786757,3.45205141557267,2.05481463354949
lovers,8.73327775792942e-05,0.349525474525475,3.0340367105073,3.45205141557267,3.08222195032424
disappointment,5.82218517195295e-05,1.04857642357642,0.650150723680135,3.45205141557267,3.08222195032424
value,5.82218517195295e-05,1.57286463536464,0.650150723680135,3.45205141557267,1.54111097516212
flashbacks,5.82218517195295e-05,1.57286463536464,1.30030144736027,3.45205141557267,1.54111097516212
creating,5.82218517195295e-05,1.57286463536464,1.30030144736027,3.45205141557267,3.08222195032424
dressed,2.91109258597647e-05,2.09715284715285,1.30030144736027,3.45205141557267,3.08222195032424
page,2.91109258597647e-05,1.04857642357642,1.30030144736027,3.45205141557267,6.16444390064848
slog,2.91109258597647e-05,1.04857642357642,1.30030144736027,3.45205141557267,6.16444390064848
hardly,8.99792253847273e-05,1.6962265675501,0.420685762381264,3.35052049158524,1.99437890903333
arent,0.000153493972715123,0.994339712012126,0.986435580756068,3.27349703200857,1.75367800621896
flawed,6.35147473303958e-05,0.480597527472527,0.595971496706791,3.16438046427495,1.41268506056528
ended,6.35147473303958e-05,1.92239010989011,1.78791449012037,3.16438046427495,1.41268506056528
focused,3.17573736651979e-05,0.961195054945055,1.19194299341358,3.16438046427495,2.82537012113055
regarding,3.17573736651979e-05,0.961195054945055,2.38388598682716,3.16438046427495,2.82537012113055
raise,3.17573736651979e-05,1.92239010989011,1.19194299341358,3.16438046427495,2.82537012113055
gary,3.17573736651979e-05,1.92239010989011,2.38388598682716,3.16438046427495,2.82537012113055
perhaps,0.000222301615656385,0.82388147566719,1.02166542292593,3.16438046427495,0.40362430301865
worse,0.000161433316131423,1.8908755179247,0.703441766604737,3.11250537469667,0.55581051563224
central,9.79185688010268e-05,0.311738936738937,0.386576105971972,3.07885666794319,2.7490087665054
career,0.000164079763936856,0.186037752570011,0.692095931659499,3.06230367510479,1.09369165979247
add,0.000132322390271658,1.38412087912088,1.71639791051556,3.03780524570395,0.678088829071332
results,6.61611951358289e-05,0.922747252747253,1.14426527367704,3.03780524570395,4.06853297442799
terrible,0.000166726211742289,2.56318681318681,1.81629408520165,3.01369568026185,0.5381657373582
particularly,0.000166726211742289,0.366169544740973,1.13518380325103,3.01369568026185,1.6144972120746
unfortunately,0.00020113003321292,0.455302920763447,1.12920915165497,2.99783412404995,1.33833321527237
finds,0.00020113003321292,0.151767640254482,1.12920915165497,2.99783412404995,0.892222143514911
except,0.000134968838077091,0.452327084680026,1.68274304952506,2.97824043696466,0.664792969677777
bad,0.000711894459661519,1.50075064340864,1.22296009733141,2.96440102972969,1.13434934231264
"""\n",0.0054993185396901,0.177622185321897,0.137664253329769,2.92377790731853,2.77370310255357
among,0.000103211464411893,0.295752324598478,1.83375845140551,2.92096658240764,0.869344652655554
doubt,0.000103211464411893,0.887256973795435,0.733503380562204,2.92096658240764,2.60803395796666
cold,6.88076429412621e-05,1.33088546069315,0.550127535421653,2.92096658240764,2.60803395796666
four,6.88076429412621e-05,1.33088546069315,2.75063767710827,2.92096658240764,6.52008489491666
gorgeous,6.88076429412621e-05,0.887256973795435,1.10025507084331,2.92096658240764,1.30401697898333
heavyhanded,3.4403821470631e-05,0.887256973795435,1.10025507084331,2.92096658240764,7.82410187389999
"""a",3.4403821470631e-05,0.887256973795435,1.10025507084331,2.92096658240764,2.60803395796666
worst,0.000209069376629219,2.7740819307275,0.724218527643695,2.88399232187084,0.858340289963712
romantic,0.000209069376629219,1.02203018500487,1.44843705528739,2.88399232187084,0.858340289963712
attempt,0.000174665555158588,1.57286463536464,1.73373526314703,2.87670951297722,1.54111097516212
message,0.000179958450769455,0.508867970265029,0.420685762381264,2.79210040965437,1.99437890903333
loss,0.000108504360022759,3.37590458322166,0.348861363925926,2.77848040765605,1.65387519285691
animation,0.000108504360022759,0.562650763870276,1.04658409177778,2.77848040765605,0.826937596428454
writing,0.000108504360022759,1.12530152774055,1.39544545570371,2.77848040765605,0.826937596428454
sit,7.41005385521284e-05,0.411940737833595,2.04333084585185,2.71232611223567,2.4217458181119
soldier,3.70502692760642e-05,0.82388147566719,3.06499626877778,2.71232611223567,2.4217458181119
goal,3.70502692760642e-05,0.82388147566719,1.02166542292593,2.71232611223567,2.4217458181119
sequel,0.000264644780543316,1.15343406593407,0.429099477628889,2.65807958999096,2.034266487214
taken,0.00019319068979662,0.474013999698931,1.17561500720244,2.60086065556845,0.928888806947031
emotions,0.000116443703439059,0.524288211788212,1.62537680920034,2.5890385616795,3.8527774379053
lacks,0.000156140420520556,0.781989197243435,0.969716333624609,2.57441122517284,1.1493031001209
falls,0.000156140420520556,0.977486496554293,0.969716333624609,2.57441122517284,0.574651550060451
"""the",0.000235533854683551,0.129599333251019,0.964268489053684,2.55994824076176,3.80948780377153
cheap,0.000119090151244492,0.256318681318681,1.27140585964115,2.53150437141996,0.75343203230148
spirit,7.93934341629947e-05,0.384478021978022,2.38388598682716,2.53150437141996,1.13014804845222
lesson,3.96967170814974e-05,0.768956043956044,1.90710878946173,2.53150437141996,2.26029609690444
low,0.000121736599049925,1.00298614429049,0.621883300911434,2.47647166769344,0.737053075077535
attempts,0.000121736599049925,2.50746536072623,1.55470825227858,2.47647166769344,0.737053075077535
drama,0.000529289561086631,0.634388736263736,0.357582898024075,2.46821676213446,3.051399730821
try,0.000203776481018353,2.09715284715285,1.11454409773738,2.46575101112334,0.440317421474891
couple,0.000164079763936856,1.30226426799007,2.5376850827515,2.44984294008383,0.546845829896236
80s,8.20398819684279e-05,0.744151010280043,0.922794575545999,2.44984294008383,1.09369165979247
remains,8.20398819684279e-05,0.372075505140021,1.384191863319,2.44984294008383,5.46845829896236
struggling,8.20398819684279e-05,0.372075505140021,3.229781014411,2.44984294008383,1.09369165979247
close,0.000169372659547722,1.08134443681319,1.11744655632523,2.37328534820621,0.529756897711979
depth,0.000127029494660792,0.240298763736264,0.297985748353395,2.37328534820621,0.706342530282638
stuck,8.4686329773861e-05,1.44179258241758,0.893957245060186,2.37328534820621,1.05951379542396
starting,8.4686329773861e-05,1.08134443681319,0.893957245060186,2.37328534820621,1.05951379542396
weak,8.4686329773861e-05,0.360448145604396,0.893957245060186,2.37328534820621,1.05951379542396
intelligent,4.23431648869305e-05,0.720896291208791,0.893957245060186,2.37328534820621,2.11902759084791
notion,4.23431648869305e-05,1.44179258241758,0.893957245060186,2.37328534820621,2.11902759084791
total,4.23431648869305e-05,1.44179258241758,0.893957245060186,2.37328534820621,2.11902759084791
difference,4.23431648869305e-05,0.720896291208791,4.46978622530093,2.37328534820621,2.11902759084791
devoted,4.23431648869305e-05,2.16268887362637,0.893957245060186,2.37328534820621,2.11902759084791
full,0.000812459476267979,0.37571142212836,0.605677872874654,2.35009363470582,2.76094800110477
mostly,0.000214362272240086,0.56959706959707,0.529752441517147,2.34398552909255,1.2557200538358
audiences,0.000214362272240086,0.56959706959707,1.41267317737906,2.34398552909255,2.5114401076716
whose,0.000172019107353155,0.887256973795435,1.10025507084331,2.33677326592611,1.56482037478
looks,0.00030169504981938,1.51767640254482,0.501870734068876,2.33164876314996,0.297407381171637
johnson,0.000129675942466225,1.88315765866786,6.42189694410583,2.32485095334486,2.0757821298102
review,0.000780702102602781,0.430094058483889,0.727287250218457,2.31697010265555,2.2986062002418
chemistry,0.000174665555158588,1.3981018981019,0.433433815786757,2.30136761038178,1.02740731677475
until,0.000264644780543316,1.26877747252747,1.28729843288667,2.27835393427796,2.71235531628533
leaves,0.000132322390271658,1.84549450549451,0.572132636838519,2.27835393427796,3.39044414535666
ridiculous,0.000132322390271658,1.84549450549451,0.858198955257779,2.27835393427796,1.35617765814266
deserves,0.000177312002964022,0.516463014597343,0.640446981535656,2.26701884007757,0.506036439605472
michael,0.000177312002964022,1.89369772019026,0.426964654357104,2.26701884007757,1.51810931881642
franchise,0.000447249679118204,2.11576662981988,1.01562006539382,2.2468973710828,1.2037079806
leave,0.000179958450769455,0.339245313510019,0.631028643571896,2.23368032772349,1.495784181775
history,0.000179958450769455,0.848113283775048,0.841371524762528,2.23368032772349,0.498594727258333
truth,8.99792253847273e-05,0.339245313510019,1.26205728714379,2.23368032772349,6.98032618161666
remake,8.99792253847273e-05,1.35698125404008,0.420685762381264,2.23368032772349,0.997189454516665
narrative,0.000269937676154182,0.791572398190045,1.12182869968337,2.23368032772349,1.99437890903333
light,0.000227594511267252,0.402360720674674,4.32425830168648,2.20770730065694,1.57695076528217
engaging,0.000137615285882524,0.443628486897718,0.275063767710827,2.19072493680573,1.30401697898333
couldnt,0.000137615285882524,0.887256973795435,1.37531883855413,2.19072493680573,0.652008489491666
youve,0.000137615285882524,0.221814243448859,1.37531883855413,2.19072493680573,0.652008489491666
chapter,9.26256731901605e-05,0.329552590266876,1.63466467668148,2.16986088978854,1.93739665448952
themes,0.000140261733687957,0.435258138088327,1.61924331180713,2.14939050403581,0.639706442520125
often,0.000378442036176941,0.96791669868593,0.700162317809377,2.1243393326601,0.711281988536363
pull,9.52721209955937e-05,0.320398351648352,0.794628662275721,2.1095869761833,1.8835800807537
fable,4.76360604977968e-05,0.640796703296703,0.794628662275721,2.1095869761833,15.0686406460296
train,4.76360604977968e-05,1.92239010989011,1.58925732455144,2.1095869761833,1.8835800807537
ultimate,4.76360604977968e-05,1.92239010989011,0.794628662275721,2.1095869761833,1.8835800807537
last,0.000526643113281198,0.985345684466287,1.65314706624195,2.09898603660449,1.53336669890502
viewers,0.00019319068979662,0.474013999698931,0.391871669067479,2.08068852445476,1.85777761389406
easy,0.00019319068979662,0.632018666265242,0.979679172668697,2.08068852445476,0.464444403473515
adaptation,0.000148201077104257,0.411940737833595,2.29874720158334,2.03424458417675,1.81630936358393
gives,0.000299048602013947,0.40829524457843,0.50631206799869,2.01624241971501,1.80023582939292
ones,0.00020113003321292,0.455302920763447,0.564604575827486,1.99855608269997,0.446111071757456
levels,5.028250830323e-05,0.607070561017929,0.752806101103315,1.99855608269997,1.78444428702982
thriller,0.000457835470339936,0.333362446801753,0.496068760264612,1.97545138810228,3.13567088587899
subject,0.000203776481018353,0.149796631939489,0.185757349622896,1.97260080889867,0.880634842949782
approach,0.000153493972715123,0.596603827207276,0.739826685567051,1.96409821920514,2.33823734162528
script,0.000359916901538909,0.932924612152553,0.631028643571896,1.95447028675806,0.997189454516665
use,0.000206422928823786,0.739380811496196,0.733503380562204,1.94731105493843,0.869344652655554
odd,0.000103211464411893,1.18300929839391,1.10025507084331,1.94731105493843,2.60803395796666
stuff,0.000156140420520556,1.36848109517601,0.727287250218457,1.93080841887963,0.574651550060451
final,0.000365209797149776,1.08656832298137,0.829177734548578,1.92614463042823,1.47410615015507
sometimes,0.000209069376629219,0.292008624287105,1.08632779146554,1.92266154791389,0.858340289963712
lost,0.000264644780543316,0.461373626373626,1.28729843288667,1.89862827856497,0.678088829071332
theyre,0.000264644780543316,0.34603021978022,1.14426527367704,1.89862827856497,2.034266487214
opportunity,0.000105857912217326,0.576717032967033,2.14549738814445,1.89862827856497,1.69522207267833
admire,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
payoff,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
speed,5.29289561086631e-05,0.576717032967033,1.4303315920963,1.89862827856497,1.69522207267833
cares,5.29289561086631e-05,0.576717032967033,0.715165796048149,1.89862827856497,1.69522207267833
shouldnt,5.29289561086631e-05,1.15343406593407,2.14549738814445,1.89862827856497,1.69522207267833
animated,0.000161433316131423,0.945437758962349,0.703441766604737,1.867503224818,2.22324206252896
begins,0.000108504360022759,1.12530152774055,0.697722727851853,1.8523202717707,1.65387519285691
forced,0.000108504360022759,0.843976145805414,1.04658409177778,1.8523202717707,0.826937596428454
boy,0.000164079763936856,1.48830202056009,0.461397287772999,1.83738220506287,0.546845829896236
cast,0.000658965503552856,0.833807758506554,0.402101250790124,1.83000316006262,0.816974492857027
young,0.00044460323131277,1.16716542386185,0.510832711462964,1.80821740815711,0.40362430301865
compelling,0.000222301615656385,0.137313579277865,1.19194299341358,1.80821740815711,3.2289944241492
rarely,0.000111150807828193,1.09850863422292,1.70277570487655,1.80821740815711,1.6144972120746
setup,0.000111150807828193,1.09850863422292,1.36222056390124,1.80821740815711,1.6144972120746
common,0.000111150807828193,1.09850863422292,1.02166542292593,1.80821740815711,1.6144972120746
brought,0.000111150807828193,0.54925431711146,2.38388598682716,1.80821740815711,1.6144972120746
straightforward,5.55754039140963e-05,0.54925431711146,1.36222056390124,1.80821740815711,3.2289944241492
needs,0.000227594511267252,1.47532264247381,0.332635253975883,1.76616584052555,0.788475382641084
serves,0.000113797255633626,0.804721441349348,0.665270507951766,1.76616584052555,0.788475382641084
offer,0.000113797255633626,1.6094428826987,0.332635253975883,1.76616584052555,2.36542614792325
otherwise,0.000113797255633626,0.804721441349348,0.99790576192765,1.76616584052555,1.57695076528217
tone,0.000285816362986781,0.640796703296703,1.19194299341358,1.75798914681942,1.56965006729475
dramatic,0.000172019107353155,1.24215976331361,0.660153042505984,1.75257994944459,4.17285433274666
entirely,0.000172019107353155,1.06470836855452,1.10025507084331,1.75257994944459,1.56482037478
similar,0.000116443703439059,0.786432317682318,1.30030144736027,1.72602570778634,0.77055548758106
none,0.000116443703439059,1.83500874125874,1.62537680920034,1.72602570778634,1.54111097516212
chase,5.82218517195295e-05,0.524288211788212,1.30030144736027,1.72602570778634,1.54111097516212
dialogue,0.000291109258597647,1.15343406593407,0.650150723680135,1.72602570778633,0.616444390064848
its,0.00763500191867466,0.615697906945741,0.718884162405419,1.72423088036056,1.63352421561378
than,0.00215685496142802,0.721780826535428,0.754653478038538,1.723907884832,1.41441841646781
predictable,0.000235533854683551,1.55519199901222,0.321422829684561,1.70663216050784,1.14284634113146
between,0.000767469863575616,1.0738868889731,1.13440091786948,1.70221845664445,0.818383069568849
else,0.000354624005928043,0.860771690995571,1.17415279948204,1.70026413005818,0.759054659408208
nor,0.000119090151244492,0.512637362637363,1.58925732455144,1.68766958094664,1.50686406460296
least,0.000479007052783401,1.14706150203388,1.10633382814078,1.67834543961544,0.561952068291159
can\t,0.000179958450769455,1.35698125404008,1.89308593071569,1.67526024579262,0.997189454516665
thats,0.000841570402127744,0.435258138088327,1.88911719710832,1.67174816980563,1.27941288504025
too,0.00151112169690233,0.888810838898405,0.951884422060584,1.66254665373465,0.771904971797489
blood,0.000121736599049925,0.250746536072623,0.310941650455717,1.65098111179562,1.47410615015507
likeable,6.08682995249626e-05,1.00298614429049,1.24376660182287,1.65098111179562,1.47410615015507
movies,0.000860095536765776,1.20666948436179,0.572132636838519,1.63574128614828,0.938892224867999
hard,0.000492239291810567,0.682138426090039,0.845895027583832,1.63322862672255,0.729127773194981
rather,0.000431370992285605,1.20296804422571,0.526502426538515,1.63072367484108,1.45601895812863
running,0.000185251346380321,1.48298665620094,0.612999253755556,1.6273956673414,0.968698327244761
hit,0.000185251346380321,0.82388147566719,1.22599850751111,1.6273956673414,1.93739665448952
wrong,0.000248766093710717,0.613528758475567,1.82595522395272,1.61585385409785,0.360685547378368
cut,0.000124383046855358,0.245411503390227,2.73893283592908,1.61585385409785,2.88548437902695
known,0.000124383046855358,0.245411503390227,0.304325870658787,1.61585385409785,0.721371094756737
john,0.000187897794185754,0.812277511221173,0.60436546144914,1.6044746016042,0.955054688832863
storytelling,0.000187897794185754,0.487366506732704,0.40291030763276,1.6044746016042,0.477527344416431
both,0.000627208129887658,0.730021560717763,1.62949168719831,1.60221795659491,1.14445371995162
kind,0.000441956783507337,1.03601862209647,0.599540188303837,1.59166442514428,2.84228850508942
locations,6.35147473303958e-05,0.961195054945055,0.595971496706791,1.58219023213747,2.82537012113055
effective,0.000190544241991187,0.160199175824176,1.39060015898251,1.58219023213747,1.41268506056528
turns,0.000256705437127016,1.18910728446811,0.884741190987401,1.5658789926309,1.04859097279072
man,0.000706601564050653,0.777595999506112,1.39283226196643,1.56441281379885,0.507931707169537
never,0.00109298294364389,1.03334286778597,1.10824723842812,1.56303538671208,1.06721002154084
actors,0.000582218517195295,1.52043581418581,0.650150723680135,1.5534231370077,1.2328887801297
less,0.000389027827398674,0.863113926889437,0.973014688500883,1.54990063556324,1.6144972120746
proves,0.000129675942466225,0.706184122000449,0.291904406550265,1.54990063556324,3.459636883017
hours,0.000195837137602054,1.24695574695575,0.966440264929931,1.5394283339716,0.4581681277509
almost,0.000460481918145369,0.994339712012126,0.575420755441039,1.52763194827066,1.16911867081264
gets,0.000592804308417027,0.978359252354788,0.893957245060186,1.52568343813256,1.05951379542396
humour,0.000132322390271658,1.15343406593407,0.572132636838519,1.51890262285197,0.678088829071332
date,6.61611951358289e-05,1.38412087912088,1.71639791051556,1.51890262285197,2.71235531628533
struggle,6.61611951358289e-05,0.461373626373626,1.71639791051556,1.51890262285197,1.35617765814266
entry,6.61611951358289e-05,0.922747252747253,1.14426527367704,1.51890262285197,2.71235531628533
song,6.61611951358289e-05,1.38412087912088,0.572132636838519,1.51890262285197,1.35617765814266
job,0.000330805975679145,1.1072967032967,0.800985691573927,1.51890262285197,0.271235531628533
your,0.00100035727045373,1.09850863422292,0.681110281950618,1.50684784013093,0.896942895597
dark,0.000468421261561669,1.17298379586515,0.808096944687174,1.50173988135082,1.91550516686817
recommend,0.000269937676154182,1.01773594053006,1.40228587460421,1.48912021848233,0.997189454516665
stupid,0.000134968838077091,2.26163542340013,0.280457174920843,1.48912021848233,0.664792969677777
feature,0.000272584123959615,0.335951669689534,0.833202869182309,1.47466274063299,3.62086267950711
emotional,0.000341391766900877,0.715307947866087,0.443513671967844,1.47180486710463,0.525650255094056
bring,0.000206422928823786,0.739380811496196,0.916879225702755,1.46048329120382,1.30401697898333
questions,0.000137615285882524,1.33088546069315,0.82519130313248,1.46048329120382,1.30401697898333
clever,0.000137615285882524,1.55269970414201,0.275063767710827,1.46048329120382,3.26004244745833
gone,0.000137615285882524,0.665442730346577,1.10025507084331,1.46048329120382,1.30401697898333
whatever,0.000137615285882524,1.77451394759087,0.550127535421653,1.46048329120382,1.956025468475
regardless,6.88076429412621e-05,0.887256973795435,2.75063767710827,1.46048329120382,1.30401697898333
absurd,6.88076429412621e-05,0.887256973795435,1.65038260626496,1.46048329120382,2.60803395796666
mission,6.88076429412621e-05,0.887256973795435,2.75063767710827,1.46048329120382,1.30401697898333
hoping,6.88076429412621e-05,1.33088546069315,1.10025507084331,1.46048329120382,1.30401697898333
plot,0.000759530520159316,1.72814163188728,0.548210714740741,1.45539449924841,0.826937596428454
far,0.000690722877218054,1.06062902614627,0.986435580756068,1.45488756978158,1.29902074534738
through,0.000902438701652707,1.04857642357642,1.04863019948409,1.44763446459499,0.795412116212707
which,0.00160110092228706,0.876991190627554,1.04024115788822,1.4435851374213,1.2328887801297
feeling,0.000209069376629219,0.584017248574211,0.905273159554619,1.44199616093542,0.858340289963712
about,0.00306723300649703,1.00514961742313,1.20942619521516,1.44158143670162,1.0823678462312
isnt,0.000701308668439787,0.783464648558988,1.07949554120475,1.43292700269054,0.895589019528175
personal,0.000211715824434653,1.7301510989011,1.07274869407222,1.42397120892373,1.69522207267833
level,0.000211715824434653,0.865075549450549,0.893957245060186,1.42397120892373,1.69522207267833
theres,0.000711894459661519,0.428785898116753,2.1800593039386,1.41161953796652,1.6385046055627
heart,0.000285816362986781,0.640796703296703,0.397314331137861,1.40639131745553,0.6278600269179
wont,0.000214362272240086,0.284798534798535,1.76584147172382,1.40639131745553,2.092866756393
reality,0.00014290818149339,0.854395604395604,1.32438110379287,1.40639131745553,1.2557200538358
appreciate,7.14540907466952e-05,1.70879120879121,1.05950488303429,1.40639131745553,1.2557200538358
survive,7.14540907466952e-05,0.427197802197802,1.05950488303429,1.40639131745553,1.2557200538358
capable,7.14540907466952e-05,1.28159340659341,0.529752441517147,1.40639131745553,1.2557200538358
missed,7.14540907466952e-05,0.427197802197802,1.58925732455144,1.40639131745553,1.2557200538358
brilliant,7.14540907466952e-05,1.28159340659341,1.58925732455144,1.40639131745553,2.5114401076716
delivered,7.14540907466952e-05,1.28159340659341,0.529752441517147,1.40639131745553,3.7671601615074
meets,7.14540907466952e-05,0.427197802197802,1.58925732455144,1.40639131745553,2.5114401076716
